Название,Описание,Картинка,Видео
"название видео 1","Описание видео","static/1.png",https://www.youtube-nocookie.com/embed/zg8vQ2xio5Q
"название видео 2","Описание видео","static/2.jpg",https://www.youtube-nocookie.com/embed/zg8vQ2xio5Q
"название видео 3","Описание видео","static/3.png",https://www.youtube-nocookie.com/embed/zg8vQ2xio5Q
"название видео 4","Описание видео","static/4.jpg",https://www.youtube-nocookie.com/embed/zg8vQ2xio5Q
"название видео 5","Описание видео","static/5.jpg",https://www.youtube-nocookie.com/embed/zg8vQ2xio5Q
"название видео 6","Описание видео","static/6.png",https://www.youtube-nocookie.com/embed/zg8vQ2xio5Q
"название видео 7","Описание видео","static/7.png",https://www.youtube-nocookie.com/embed/zg8vQ2xio5Q
"название видео 8","Описание видео","static/8.png",https://www.youtube-nocookie.com/embed/zg8vQ2xio5Q
"название видео 9","Описание видео","static/9.jpg",https://www.youtube-nocookie.com/embed/zg8vQ2xio5Q
"название видео 10","Описание видео","static/10.png",https://www.youtube-nocookie.com/embed/zg8vQ2xio5Q
"название видео 11","Описание видео","static/11.jpg",https://www.youtube-nocookie.com/embed/zg8vQ2xio5Q
